rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter,raw_data
1613521614282501130,,190,,1614,0,'',1.03982,-1.87256,36.5,625443.467899,114953.878996,30,"""N""","""$GPGGA,002654.000,4220.3892,N,07105.3536,W,1,07,1.3,36.5,M,-33.8,M,,0000*5F\r\n"""
1613521615283727912,,191,,1615,0,'',1.039815,-1.87256166667,36.4,625443.282633,114953.32617,30,"""N""","""$GPGGA,002655.000,4220.3889,N,07105.3537,W,1,07,1.3,36.4,M,-33.8,M,,0000*54\r\n"""
1613521616282407234,,192,,1616,0,'',1.03980666667,-1.87255666667,36.4,625443.839354,114952.405103,30,"""N""","""$GPGGA,002656.000,4220.3884,N,07105.3534,W,1,07,1.3,36.4,M,-33.8,M,,0000*59\r\n"""
1613521617281802725,,193,,1617,0,'',1.0398,-1.87255,36.4,625444.581473,114951.668355,30,"""N""","""$GPGGA,002657.000,4220.3880,N,07105.3530,W,1,07,1.3,36.4,M,-33.8,M,,0000*58\r\n"""
1613521618281892155,,194,,1618,0,'',1.03979333333,-1.87254833333,36.4,625444.767201,114950.931408,30,"""N""","""$GPGGA,002658.000,4220.3876,N,07105.3529,W,1,07,1.3,36.4,M,-33.8,M,,0000*56\r\n"""
1613521619282687423,,195,,1619,0,'',1.039785,-1.87254333333,36.3,625445.323922,114950.010341,30,"""N""","""$GPGGA,002659.000,4220.3871,N,07105.3526,W,1,07,1.3,36.3,M,-33.8,M,,0000*58\r\n"""
1613521620282387525,,196,,1620,0,'',1.03977833333,-1.87254,36.3,625445.695113,114949.27346,30,"""N""","""$GPGGA,002700.000,4220.3867,N,07105.3524,W,1,07,1.3,36.3,M,-33.8,M,,0000*50\r\n"""
1613521621282067554,,197,,1621,0,'',1.03977333333,-1.87253333333,36.3,625446.437167,114948.720965,30,"""N""","""$GPGGA,002701.000,4220.3864,N,07105.3520,W,1,07,1.3,36.3,M,-33.8,M,,0000*56\r\n"""
1613521622282859442,,198,,1622,0,'',1.03976166667,-1.872525,36.2,625447.364948,114947.431524,30,"""N""","""$GPGGA,002702.000,4220.3857,N,07105.3515,W,1,07,1.3,36.2,M,-33.8,M,,0000*52\r\n"""
1613521623283564905,,199,,1623,0,'',1.03975166667,-1.872515,36.2,625448.478127,114946.326402,30,"""N""","""$GPGGA,002703.000,4220.3851,N,07105.3509,W,1,07,1.3,36.2,M,-33.8,M,,0000*58\r\n"""
