rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter,raw_data
1613520610971687516,,161,,612,0,'',1.038595,-1.87183833333,28.7,625523.822216,114818.481521,30,"""N""","""$GPGGA,001012.000,4220.3157,N,07105.3103,W,1,09,1.2,28.7,M,-33.8,M,,0000*58\r\n"""
1613520611968730786,,162,,613,0,'',1.03857833333,-1.87185666667,30.4,625521.782767,114816.63826,30,"""N""","""$GPGGA,001013.000,4220.3147,N,07105.3114,W,1,07,1.5,30.4,M,-33.8,M,,0000*5D\r\n"""
1613520612970686738,,163,,614,0,'',1.03857666667,-1.87185666667,30.4,625521.782833,114816.454007,30,"""N""","""$GPGGA,001014.000,4220.3146,N,07105.3114,W,1,09,1.2,30.4,M,-33.8,M,,0000*52\r\n"""
1613520613969800097,,164,,615,0,'',1.03857666667,-1.87185666667,30.5,625521.782833,114816.454007,30,"""N""","""$GPGGA,001015.000,4220.3146,N,07105.3114,W,1,09,1.2,30.5,M,-33.8,M,,0000*52\r\n"""
1613520614969036265,,165,,616,0,'',1.03857666667,-1.87185666667,30.5,625521.782833,114816.454007,30,"""N""","""$GPGGA,001016.000,4220.3146,N,07105.3114,W,1,09,1.2,30.5,M,-33.8,M,,0000*51\r\n"""
1613520615970731314,,166,,617,0,'',1.03857666667,-1.87185666667,30.5,625521.782833,114816.454007,30,"""N""","""$GPGGA,001017.000,4220.3146,N,07105.3114,W,1,09,1.2,30.5,M,-33.8,M,,0000*50\r\n"""
1613520616971169424,,167,,618,0,'',1.03857666667,-1.87185833333,30.5,625521.597369,114816.453941,30,"""N""","""$GPGGA,001018.000,4220.3146,N,07105.3115,W,1,09,1.2,30.5,M,-33.8,M,,0000*5E\r\n"""
1613520617970892738,,168,,619,0,'',1.03857666667,-1.87185833333,30.5,625521.597369,114816.453941,30,"""N""","""$GPGGA,001019.000,4220.3146,N,07105.3115,W,1,09,1.2,30.5,M,-33.8,M,,0000*5F\r\n"""
1613520618971389772,,169,,620,0,'',1.038575,-1.87185833333,30.6,625521.597435,114816.269687,30,"""N""","""$GPGGA,001020.000,4220.3145,N,07105.3115,W,1,09,1.2,30.6,M,-33.8,M,,0000*55\r\n"""
1613520619970887603,,170,,621,0,'',1.038575,-1.87185833333,30.6,625521.597435,114816.269687,30,"""N""","""$GPGGA,001021.000,4220.3145,N,07105.3115,W,1,09,1.2,30.6,M,-33.8,M,,0000*54\r\n"""
1613520620971142477,,171,,622,0,'',1.038575,-1.87185833333,30.6,625521.597435,114816.269687,30,"""N""","""$GPGGA,001022.000,4220.3145,N,07105.3115,W,1,09,1.2,30.6,M,-33.8,M,,0000*57\r\n"""
1613520621970529842,,172,,623,0,'',1.038575,-1.87185833333,30.6,625521.597435,114816.269687,30,"""N""","""$GPGGA,001023.000,4220.3145,N,07105.3115,W,1,09,1.2,30.6,M,-33.8,M,,0000*56\r\n"""
1613520622970820288,,173,,624,0,'',1.038575,-1.87186,30.7,625521.411971,114816.269621,30,"""N""","""$GPGGA,001024.000,4220.3145,N,07105.3116,W,1,09,1.2,30.7,M,-33.8,M,,0000*53\r\n"""
1613520623970436387,,174,,625,0,'',1.03857333333,-1.87186,30.7,625521.412036,114816.085368,30,"""N""","""$GPGGA,001025.000,4220.3144,N,07105.3116,W,1,09,1.2,30.7,M,-33.8,M,,0000*53\r\n"""
1613520624971326681,,175,,626,0,'',1.03857333333,-1.87186,30.7,625521.412036,114816.085368,30,"""N""","""$GPGGA,001026.000,4220.3144,N,07105.3116,W,1,09,1.2,30.7,M,-33.8,M,,0000*50\r\n"""
1613520625970709266,,176,,627,0,'',1.03857333333,-1.87186,30.7,625521.412036,114816.085368,30,"""N""","""$GPGGA,001027.000,4220.3144,N,07105.3116,W,1,09,1.2,30.7,M,-33.8,M,,0000*51\r\n"""
1613520626970742937,,177,,628,0,'',1.03857333333,-1.87186,30.8,625521.412036,114816.085368,30,"""N""","""$GPGGA,001028.000,4220.3144,N,07105.3116,W,1,09,1.2,30.8,M,-33.8,M,,0000*51\r\n"""
